obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
154; 163.9;230047;138858;43421;19174;9096;15477;7278;3324;43;47; NA;466675;  1*
155; 165.0;982945;233550;38405;20088;21265;7615;4587;5660;35;40; NA;1314115;  1*
156; 165.9;1790088;267180;76949;32349;33134;17151;4044;3115;30;35; NA;2224010;  1*
157; 167.0;857592;74525;29467;55853;17965;10114;5966;3708;41;51; NA;1055190;  1*
158; 167.9;132394;122509;6792;11491;2473;8779;893;768;38;34; NA;286099;  1*
159; 168.9;936830;224289;41223;24335;13472;8687;2169;3469;40;37; NA;1254474;  1*
160; 169.9;846115;232221;88418;33348;26140;6484;4283;570;30;40; NA;1237579;  1*
161; 170.9;1634439;493291;214136;32026;25935;21400;11915;5968;24;29; NA;2439110;  1*
162; 171.9;1214678;85538;22306;40460;17427;4774;2713;1343;17;53; NA;1389239;  1*
163; 173.0;1952450;499520;134901;44494;27257;29563;4795;7876;21;54; NA;2700856;  1*
164; 173.9;1474243;113897;29827;22508;12262;4360;768;1631;24;53; NA;1659496;  1*
165; 174.9;1460504;843219;134129;210010;16596;17441;5322;2029;17;51; NA;2689250;  1*
166; 176.0;484233;686062;148524;35948;10604;14494;8880;4617;13;40; NA;1393362;  1*
167; 176.9;553570;119269;95231;32676;18978;6645;2787;2077;8;56; NA;831233;  1*
168; 177.9;1569776;177895;15955;21248;10043;12433;3768;2322;14;47; NA;1813440;  1*
169; 178.9;80073;24910;7728;7109;5161;2032;869;599;26;48; NA;128481;  1*
170; 179.9;1240809;185691;34134;10214;9442;9907;4951;2329;34;44; NA;1497477;  1*
171; 181.0;2054082;477578;308942;157926;79587;37034;16714;31250;38;43; NA;3163113;1
172; 181.9;33759;44449;12860;6360;2041;1676;1282;571;30;54; NA;102998;1
173; 183.0;634749;70797;47714;7455;5715;4498;3407;1845;27;60; NA;776180;1
174; 183.9;793492;133530;128366;22743;8881;5906;5119;1532;21;83; NA;1099569;1
175; 184.9;1088092;430548;110495;64730;23247;26706;3588;7325;21;70; NA;1754731;1
176; 185.9;241936;48673;2941;5541;4581;5181;667;371;35;56; NA;309891;1
177; 186.9;583347;152137;76299;30507;4846;5471;7723;3216;29;56; NA;863546;1
178; 187.9;304987;13573;7983;4347;1086;1635;652;106;41;51; NA;334369;1
179; 188.9;1007136;151129;89614;48831;13743;8319;1725;1412;38;64; NA;1321909;1
180; 190.0;880006;123913;29109;26020;14486;5160;2978;3631;27;80; NA;1085303;1
181; 190.9;1292384;590041;96264;86561;48655;21954;8077;8977;30;66; NA;2152913;1
182; 192.0;1848467;311006;40803;34344;18762;10415;8364;1299;24;48; NA;2273460;1
183; 192.9;1090145;708065;73462;47685;33286;11180;6232;4000;16;23; NA;1974055;1
184; 193.9;2290503;550553;202392;40810;49052;28383;17532;3054;16;23; NA;3182279;1
185; 194.9;2000413;60130;18534;10990;6056;4532;3623;2474;23;29; NA;2106752;1
186; 195.9;630772;108860;28678;8575;7022;2922;1309;975;20;35; NA;789113;1
187; 197.0;2805922;812215;250257;30069;47254;53362;5609;21562;30;44; NA;4026250;1
188; 197.9;1571776;61354;53729;24621;9723;5542;2714;1887;34;57; NA;1731346;1
189; 199.0;1062916;160246;11756;24348;1790;6266;4538;1326;27;48; NA;1273186;1
190; 199.9;655338;289533;56592;24668;9335;11470;4394;2197;34;44; NA;1053527;1
191; 201.0;1528785;446729;84890;53957;28787;29614;4169;4169;34;41; NA;2181100;1
192; 202.0;302655;49292;6347;3334;2955;1202;420;643;27;16; NA;366848;1
193; 202.9;735225;72573;63593;11748;3941;6034;1704;2799;27;38; NA;897617;1
194; 203.9;2487569;349666;359681;72723;65821;25870;17243;10720;29;57; NA;3389293;1
195; 204.9;2492511;34327;41476;34078;16534;7593;2098;1724;30;81; NA;2630341;1
196; 205.9;1247531;390363;114859;26591;28071;30991;5042;8816;41;91; NA;1852264;1
197; 206.9;1461959;159709;16196;40144;4450;5361;2445;2756;37;75; NA;1693020;1
198; 208.0;1839230;434626;33144;144914;6850;8498;9097;5368;29;61; NA;2481727;1
199; 208.9;1063421;256756;124965;32254;42578;16253;7269;7273;24;47; NA;1550769;1
200; 209.9;330308;319753;21474;30331;21836;2771;2122;2863;4;35; NA;731458;1
201; 210.9;59965;39709;8836;2283;3674;3369;1062;277;14;29; NA;119175;1
202; 211.9;63893;78496;9258;5290;3422;1837;1502;601;17;17; NA;164299;1
203; 212.9;548787;336523;15099;23937;22003;30960;3873;914;24;1; NA;982096;1
204; 213.9;1490315;614500;155169;57614;19275;14095;7941;3954;34;7; NA;2362863;1
205; 214.9;44240;249329;13303;18431;1591;1811;3655;1772;11;1; NA;334132;1
206; 215.9;1795285;157911;58269;35773;18219;12197;11668;5645;17;13; NA;2094967;1
207; 216.9;930694;422870;143179;35180;14215;14114;9203;13539;7;34; NA;1582994;1
208; 217.9;944871;520538;206391;26703;31106;15599;9898;3232;8;37; NA;1758338;1
209; 219.0;71858;19496;7938;7914;2170;1440;446;352;24;63; NA;111614;1
210; 219.9;712531;25887;42635;14705;5185;3001;2665;1979;23;80; NA;808588;1
211; 220.9;680890;196762;19336;28500;6399;3791;3094;1225;20;70; NA;939997;1
212; 221.9;989230;201388;65351;36832;10108;6669;5683;2074;20;74; NA;1317335;1
213; 222.9;1135719;39304;14974;3835;5754;1400;1490;1137;13;66; NA;1203613;1
214; 224.0;580138;88483;5063;14842;2531;1789;2671;473;7;37; NA;695990;1
215; 224.9;1139041;167765;177788;48090;30752;32020;14496;5801;21;56; NA;1615753;1
216; 226.0;1933182;88034;11038;22953;10352;4969;2602;542;27;53; NA;2073672;1
217; 226.9;995927;70692;66391;8945;7104;4058;6536;5205;29;64; NA;1164858;1
218; 227.9;1873519;441586;68020;83833;29425;15884;10015;3393;35;70; NA;2525675;1
219; 228.9;633006;81015;30439;2165;5739;6838;3160;2293;30;56; NA;764655;1
220; 229.9;3258930;1014931;67354;19638;11764;13655;10175;5351;21;38; NA;4401798;1
221; 231.0;1212313;194070;103595;16242;10597;10011;8386;1784;21;29; NA;1556998;1
222; 231.9;212267;55065;19627;4572;4119;2104;2409;1255;23;34; NA;301418;1
223; 233.0;269466;128753;19394;5281;5572;3365;2627;1667;13;24; NA;436125;1
224; 233.9;373905;29660;3286;7507;5366;1406;1116;2848;23;43; NA;425094;1
225; 234.9;685576;178711;19089;20446;5301;1849;1573;1422;10;29; NA;913967;1
226; 235.9;637306;105312;23298;6487;1526;7357;2078;1209;16;24; NA;784573;1
227; 236.9;365286;84996;11559;14442;14473;9654;1720;2120;29;29; NA;504250;1
228; 237.9;2222507;349490;139078;12166;19981;14942;7727;7331;27;34; NA;2773222;1
229; 238.9;206349;1031139;62211;92172;25630;39391;4207;2914;40;27; NA;1464013;1
230; 240.0;2068464;1251234;56715;12189;10621;14533;8940;5516;24;10; NA;3428212;1
231; 240.9;1016729;74919;15253;6835;4183;1564;1211;2279;10;14; NA;1122973;1
232; 241.9;896215;934012;5866;43374;28851;9749;6681;4921;1;1; NA;1929669;1
233; 242.9;1121313;418054;6185;7447;8985;10929;7047;9395;1;1; NA;1589355;1
234; 244.0;695509;394384;46549;45441;17137;8213;6446;4819;1;7; NA;1218498;1
235; 244.9;1021950;176763;27308;14600;18874;6623;2921;3012;7;8; NA;1272051;1
236; 245.9;871196;67077;27385;16189;6377;9139;3109;2766;26;38; NA;1003238;1
237; 246.9;853654;416450;64219;19926;8569;8804;4747;4539;23;57; NA;1380908;1
238; 247.9;168483;131476;16081;4319;7281;4316;1711;1647;27;51; NA;335314;1
239; 248.9;853238;84620;12500;11697;22895;6497;7853;1154;35;51; NA;1000454;1
240; 249.9;849744;620405;130832;59999;63072;15674;13727;3575;21;44; NA;1757028;1
241; 251.0;1581880;59988;28588;23241;8046;3486;2089;1407;26;60; NA;1708725;1
242; 251.9;1224092;102709;2246;27978;6136;4973;4585;909;27;66; NA;1373628;1
243; 252.9;665519;77547;19613;10522;5154;5552;1734;1962;26;74; NA;787603;1
244; 253.9;452791;74664;14657;8430;10791;4216;2143;1814;35;74; NA;569506;1
245; 254.9;300856;55231;2266;11435;2251;1734;877;1382;34;60; NA;376032;1
246; 256.0;345042;12442;3277;4412;9596;3225;1596;3170;47;63; NA;382760;1
247; 256.9;1304244;131578;15298;40015;4825;4147;3390;5732;40;63; NA;1509229;1
248; 258.0;307114;77869;10244;2994;4289;2935;926;837;37;56; NA;407208;1
249; 258.9;1421256;155797;123307;14678;14264;26928;8333;4619;50;67; NA;1769182;1
250; 259.9;160314;61861;2283;9105;1439;4041;1027;822;40;61; NA;240892;1
251; 260.9;98394;75036;20827;8219;1351;1056;506;1000;34;61; NA;206389;1
252; 262.0;205256;108128;22649;24503;9567;8370;3836;2461;38;70; NA;384770;1
253; 263.0;952298;126575;43300;19331;8068;8422;2315;1729;30;66; NA;1162038;1
254; 263.9;1064024;79249;61602;17135;8120;18393;4542;977;38;83; NA;1254042;1
255; 265.0;1294987;63744;13888;21539;24381;19107;1149;3384;64;81; NA;1442179;1
256; 265.9;340192;37811;20595;6069;2649;3726;2155;2714;64;88; NA;415911;1
257; 266.9;265746;138655;39508;12256;3501;2365;3211;1320;53;84; NA;466562;1
258; 267.9;352841;87774;8021;7008;19850;6246;834;761;47;66; NA;483335;1
259; 269.0;871231;294957;144015;28246;11221;11149;4247;4543;26;70; NA;1369609;1
260; 269.9;1036373;455636;32140;34337;16481;10535;19443;7333;16;56; NA;1612278;1
261; 270.9;2050720;199772;22819;69428;31203;12329;6152;4956;27;56; NA;2397379;1
262; 272.0;386173;54538;4861;23727;11163;4605;2907;804;26;67; NA;488778;1
263; 272.9;1752465;181655;57536;30414;26639;11065;3900;5392;30;63; NA;2069066;1
264; 273.9;858551;177989;26829;17183;5086;3579;1562;1806;29;67; NA;1092585;1
265; 274.9;105110;4998;3310;1782;2099;857;500;797;37;74; NA;119453;1
266; 275.9;51464;9576;1107;1984;590;522;233;219;35;70; NA;65695;1
267; 276.9;583483;264632;73212;11567;11119;18734;15240;5327;38;67; NA;983314;1
268; 277.9;138674;43886;7599;7510;3960;1653;2009;1435;43;70; NA;206726;1
269; 278.9;1307698;139890;65480;15251;13677;4148;7458;4936;29;69; NA;1558538;1
270; 279.9;248580;19702;3949;5671;3565;1696;686;1372;30;70; NA;285221;1
271; 280.9;189336;38886;23280;1966;7041;5350;2209;1144;35;78; NA;269212;1
272; 281.9;598281;73236;28092;8885;5248;5228;1921;1160;40;81; NA;722051;1
273; 282.9;2271212;135947;43128;40437;11637;13110;5950;7065;50;81; NA;2528486;1
274; 283.9;20262;36784;3980;1525;1063;1169;440;416;43;69; NA;65639;1
275; 284.9;630171;47089;12899;11798;2547;2746;2746;1420;37;69; NA;711416;1
276; 285.9;930162;148523;33103;14687;6038;3178;3766;6747;26;63; NA;1146204;1
277; 287.0;254869;98384;20778;8880;5190;1551;2104;1491;13;56; NA;393247;1
