obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
124, 128.9, 1726204, 1018095, 147743, 130116, 30417, 47984, 13097, 10598, 43, 23, NA, 3124254,  X*
125, 129.9, 2661207, 310047, 138252, 38052, 28471, 40113, 19278, 9999, 40, 29, NA, 3245419,  X*
126, 131.0, 212270, 40048, 11730, 6097, 3849, 2559, 2905, 1423, 34, 35, NA, 280881,  X*
127, 132.9, 75024, 88315, 32641, 61492, 7124, 11044, 14101, 4960, 17, 48, NA, 294701,  X*
128, 134.0, 346311, 33469, 15651, 7809, 3721, 2506, 2178, 1089, 21, 63, NA, 412734,  X*
129, 134.9, 1129342, 169113, 14811, 22427, 8620, 6956, 3417, 3233, 20, 54, NA, 1357919,  X*
130, 136.0, 2432891, 312650, 27924, 58163, 7276, 21631, 12106, 7830, 17, 40, NA, 2880471,  X*
131, 137.0, 327429, 214731, 15187, 11822, 18838, 18779, 9489, 5015, 16, 17, NA, 621290,  X*
132, 137.9, 206750, 12851, 3505, 801, 1934, 321, 126, 150, 7, 11, NA, 226438,  X*
133, 139.0, 96699, 50070, 64715, 81030, 41330, 10830, 4266, 2871, 14, 34, NA, 351811,  X*
134, 140.0, 281676, 200669, 65582, 60342, 29829, 21955, 6721, 3237, 20, 40, NA, 670011,  X*
135, 140.9, 65730, 72014, 21704, 55200, 4386, 10481, 2924, 4612, 17, 64, NA, 237051,  X*
136, 142.0, 109638, 104945, 58180, 67768, 20952, 26158, 5122, 3313, 43, 77, NA, 396076,  X*
137, 143.0, 61856, 11093, 26027, 30397, 8504, 6319, 2443, 2867, 48, 81, NA, 149506,  X*
138, 143.9, 282637, 25084, 33537, 32989, 33925, 15892, 3745, 2733, 61, 90, NA, 430542,  X*
139, 144.9, 190891, 36819, 16600, 52500, 16920, 11461, 2873, 1571, 67, 91, NA, 329635,  X*
140, 145.9, 60767, 19490, 9483, 6790, 3527, 2901, 1358, 481, 64, 88, NA, 104797,  X*
141, 146.9, 121010, 73838, 4636, 9080, 4001, 1256, 1711, 1739, 43, 60, NA, 217271,  X*
142, 148.0, 915845, 125339, 32850, 31269, 15862, 12693, 3332, 7452, 30, 50, NA, 1144642,  X*
143, 149.0, 753186, 52492, 9006, 73930, 13645, 6550, 7203, 4745, 20, 51, NA, 920757,  X*
