obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
167, 180.9, 18022, 8753, 6056, 4552, 14806, 25660, 18803, 7383, 87, 77, NA, 104035,  X
168, 182.0, 34692, 16908, 1688, 6201, 6088, 18773, 16168, 7094, 96, 77, NA, 107612,  X
169, 183.0, 23306, 39669, 4840, 8749, 15059, 34122, 12211, 11020, 97, 57, NA, 148976,  X
170, 183.9, 19689, 11746, 9200, 1360, 12498, 14824, 15071, 10320, 100, 44, NA, 94708,  X
171, 184.9, 51354, 11794, 15180, 21398, 26540, 19975, 17415, 5196, 94, 54, NA, 168852,  X
172, 185.9, 60010, 24914, 2543, 4538, 21159, 22113, 19505, 7310, 93, 48, NA, 162092,  X
173, 187.0, 14853, 7672, 11657, 13921, 5596, 26711, 16621, 16149, 94, 61, NA, 113180,  X
174, 187.9, 34973, 13063, 7725, 7420, 10350, 16508, 31563, 4042, 94, 64, NA, 125644,  X
175, 188.9, 25134, 16000, 13853, 10678, 7977, 19948, 7595, 9064, 96, 64, NA, 110249,  X
176, 190.0, 13092, 6242, 3840, 3686, 25822, 18666, 6189, 11208, 100, 67, NA, 88745,  X
177, 190.9, 134290, 27607, 14718, 18290, 10629, 7480, 9429, 12947, 84, 69, NA, 235390,  X
178, 192.9, 777978, 57946, 85639, 53618, 16236, 46360, 35705, 35570, 75, 81, NA, 1109052,  X
179, 193.9, 1534759, 298953, 120414, 61833, 38344, 20749, 15735, 12156, 51, 81, NA, 2102943,  X
180, 194.9, 721438, 73431, 78988, 8009, 24178, 12818, 15657, 21594, 23, 96, NA, 956113,  X
181, 195.9, 583831, 91388, 56536, 53102, 12662, 13699, 23262, 13154, 16, 97, NA, 847634,  X
182, 196.9, 1372132, 370463, 910015, 504605, 83860, 108133, 159392, 88971, 3, 100, NA, 3597571,  X
183, 198.0, 117603, 49538, 10535, 21607, 7443, 5381, 29412, 13081, 8, 100, NA, 254600,  X
184, 198.9, 873468, 205774, 79990, 38525, 36433, 40773, 28194, 13678, 11, 94, NA, 1316835,  X
185, 199.9, 439114, 96892, 40200, 24475, 14639, 11790, 9595, 13811, 13, 87, NA, 650516,  X
186, 201.0, 851976, 683012, 32342, 114838, 46808, 126221, 71043, 88679, 23, 61, NA, 2014919,  X
187, 201.9, 3082093, 280266, 154050, 195975, 122526, 49524, 66540, 52785, 24, 66, NA, 4003759,  X
188, 202.9, 480226, 89627, 5934, 8896, 10284, 11734, 25587, 6387, 23, 56, NA, 638675,  X
189, 203.9, 145400, 123604, 33988, 8852, 10374, 15079, 12248, 8830, 24, 50, NA, 358375,  X
190, 204.9, 1316748, 177938, 125598, 21510, 22971, 78067, 31268, 53172, 29, 60, NA, 1827272,  X
191, 206.0, 149690, 53769, 15199, 8378, 12895, 11585, 11545, 8474, 35, 51, NA, 271535,  X
