obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
112, 114.0, 213665, 359597, 12417, 27582, 12873, 13208, 18541, 16541, 30, 26, NA, 674424,  X*
113, 115.0, 315503, 54493, 7916, 4968, 8838, 5861, 1134, 4286, 24, 24, NA, 402999,  X*
114, 116.0, 110937, 27568, 20715, 106550, 18419, 17456, 10132, 5957, 35, 37, NA, 317734,  X*
115, 117.0, 81251, 33642, 49591, 28910, 23704, 9597, 4468, 4846, 34, 51, NA, 236009,  X*
116, 118.0, 92665, 28778, 79485, 15532, 47967, 18863, 6034, 7519, 53, 74, NA, 296843,  X*
117, 119.0, 55547, 44479, 25955, 83534, 6817, 11754, 8764, 3590, 51, 96, NA, 240440,  X*
118, 120.0, 1633250, 32706, 44346, 14300, 17980, 16377, 14784, 6395, 57, 87, NA, 1780138,  X*
119, 121.0, 743663, 54909, 25370, 33038, 33402, 20320, 9643, 2552, 66, 80, NA, 922897,  X*
120, 122.0, 16152, 8750, 8120, 2339, 2925, 1924, 1899, 3836, 61, 78, NA, 45945,  X*
121, 123.0, 81548, 21690, 11955, 14418, 7029, 2687, 3820, 1368, 57, 69, NA, 144515,  X*
122, 124.0, 41055, 115629, 26518, 33300, 22080, 16319, 7960, 5033, 51, 61, NA, 267894,  X*
123, 125.1, 380724, 51013, 19092, 29109, 16934, 11117, 24536, 4269, 44, 63, NA, 536794,  X*
124, 126.0, 142714, 32608, 5884, 17539, 18017, 13156, 13637, 9676, 54, 54, NA, 253231,  X*
125, 127.0, 176332, 29150, 59691, 22760, 24085, 10994, 2991, 4111, 61, 60, NA, 330114,  X*
126, 128.0, 191768, 142941, 27695, 25243, 16310, 15943, 4890, 5649, 60, 57, NA, 430439,  X*
127, 129.0, 76559, 11319, 15136, 3080, 3763, 3263, 2397, 3528, 60, 63, NA, 119045,  X*
128, 130.0, 92731, 53897, 9564, 52650, 13619, 10634, 6034, 3926, 48, 70, NA, 243055,  X*
