obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
106, 116.0, 244778, 19194, 18050, 3333, 3656, 2457, 1603, 1318, 93, 60, NA, 294389,  1*
107, 117.0, 72077, 19106, 810, 7384, 1446, 3426, 764, 636, 100, 60, NA, 105649,  1*
108, 118.0, 71862, 33890, 9834, 10745, 7025, 4886, 1759, 2725, 100, 57, NA, 142726,  1*
109, 119.0, 64490, 12546, 1725, 2714, 2351, 803, 969, 752, 97, 43, NA, 86350,  1*
110, 120.0, 9051, 10588, 2139, 4392, 4611, 6813, 3003, 2138, 100, 34, NA, 42735,  1*
111, 121.0, 43535, 42859, 14302, 15617, 3894, 5952, 1456, 2022, 97, 37, NA, 129637,  1*
112, 122.0, 27367, 18158, 709, 6641, 1502, 6978, 1141, 3549, 100, 30, NA, 66045,  1*
113, 123.0, 886419, 65050, 6464, 46561, 23957, 20895, 8786, 5341, 100, 37, NA, 1063473,  1*
114, 124.0, 163512, 48990, 7495, 6848, 6418, 8361, 6304, 10640, 100, 35, NA, 258568,  1*
115, 125.0, 90757, 19856, 1969, 4002, 2614, 2487, 1684, 1309, 100, 23, NA, 124678,  1*
116, 126.0, 92284, 101520, 6411, 11531, 3718, 6168, 13554, 4176, 91, 17, NA, 239362,  1*
117, 127.0, 782824, 80826, 31243, 29176, 6181, 17090, 7534, 4646, 90, 21, NA, 959520,  1*
118, 128.0, 486756, 150108, 51301, 22687, 19926, 10671, 18057, 4143, 80, 27, NA, 763649,  1*
119, 129.0, 50958, 9085, 20580, 4522, 4399, 3404, 2102, 2203, 80, 48, NA, 97253,  1*
120, 130.0, 10079, 4039, 4711, 3804, 4829, 4312, 3349, 1559, 94, 63, NA, 36682,  1*
121, 131.0, 125424, 77683, 19906, 14116, 11479, 3502, 1852, 3270, 83, 60, NA, 257232,  1*
122, 132.0, 46245, 5906, 2358, 6620, 2606, 3142, 2263, 2374, 93, 66, NA, 71514,  1*
123, 133.0, 16161, 1839, 5711, 2291, 3645, 2372, 2444, 2253, 100, 61, NA, 36716,  1*
124, 134.0, 41148, 9477, 4549, 8791, 6090, 4567, 2689, 1637, 96, 61, NA, 78948,  1*
125, 135.0, 39287, 11994, 5045, 8100, 8996, 4070, 1920, 1776, 100, 64, NA, 81188,  1*
126, 136.0, 13652, 10977, 6027, 10191, 3466, 3174, 5015, 1789, 100, 66, NA, 54291,  1*
127, 137.0, 48186, 73531, 41020, 4526, 12223, 3527, 3322, 1225, 87, 60, NA, 187560,  1*
128, 138.0, 16820, 14210, 3721, 3202, 5342, 4051, 3415, 2004, 87, 50, NA, 52765,  1*
129, 139.0, 21768, 10434, 9998, 3541, 6043, 4213, 3502, 3329, 88, 53, NA, 62828,  1*
130, 140.0, 29725, 7192, 2618, 3592, 3064, 5774, 4186, 1704, 100, 43, NA, 57855,  1*
131, 141.0, 27455, 25127, 6132, 3600, 5995, 4892, 8903, 1950, 100, 37, NA, 84054,  1*
132, 142.0, 23057, 15505, 12015, 6824, 3691, 6940, 3841, 3001, 100, 47, NA, 74874,  1*
133, 143.0, 18011, 7128, 2729, 5058, 3313, 2483, 4717, 863, 100, 47, NA, 44302,  1*
134, 144.0, 28995, 22933, 2785, 7374, 4897, 3166, 3605, 2959, 97, 43, NA, 76714,  1*
135, 145.0, 46377, 11917, 2738, 8045, 2535, 4132, 4166, 1872, 100, 51, NA, 81782,  1*
136, 146.0, 36409, 34880, 17222, 7807, 12004, 2648, 3683, 5012, 88, 47, NA, 119665,  1*
137, 147.0, 106341, 26029, 6908, 1154, 746, 905, 648, 595, 74, 38, NA, 143326,  1*
138, 148.0, 63185, 49377, 5166, 2871, 1310, 530, 1202, 423, 54, 30, NA, 124064,  1*
139, 149.0, 44580, 19136, 9076, 10490, 7909, 5018, 3274, 1021, 51, 34, NA, 100504,  1*
140, 150.0, 1013255, 77945, 10676, 4742, 8495, 8986, 3929, 3994, 57, 23, NA, 1132022,  1*
141, 151.0, 437049, 93121, 63683, 23200, 19404, 20899, 5142, 4703, 69, 30, NA, 667201,  1*
142, 152.0, 1564801, 22934, 74162, 39093, 9238, 8590, 1175, 339, 87, 64, NA, 1720332,  1*
143, 153.0, 1675020, 294255, 106551, 207436, 108561, 14466, 4548, 2661, 74, 67, NA, 2413498,  1*
144, 154.0, 301542, 24814, 22337, 20798, 4176, 2863, 478, 432, 64, 90, NA, 377440,  1*
145, 155.0, 1302206, 97121, 27882, 27461, 5138, 6853, 723, 753, 56, 88, NA, 1468137,  1*
146, 159.0, 177631, 135257, 37515, 9065, 5559, 7864, 3579, 2058, 53, 63, NA, 378528,  1*
147, 160.0, 9230, 2655, 1594, 523, 1891, 808, 529, 370, 69, 54, NA, 17600,  1*
148, 161.0, 29346, 15000, 1274, 7230, 2726, 2032, 1909, 2236, 77, 43, NA, 61753,  1*
149, 162.0, 24712, 24277, 16694, 5018, 14320, 5602, 5766, 1264, 83, 43, NA, 97653,  1*
150, 163.0, 16865, 8738, 6700, 1475, 598, 3049, 2206, 1584, 94, 53, NA, 41215,  1*
151, 164.0, 7669, 10202, 1830, 762, 3634, 4952, 1696, 873, 100, 40, NA, 31618,  1*
152, 165.0, 12633, 6883, 7581, 1017, 1679, 2902, 2582, 2629, 100, 44, NA, 37906,  1*
153, 166.0, 31075, 5760, 3700, 1691, 4139, 3816, 2477, 2866, 100, 43, NA, 55524,  1*
154, 167.0, 8652, 18142, 3260, 6459, 5556, 2803, 2417, 4885, 100, 37, NA, 52174,  1*
155, 168.0, 9333, 8014, 3513, 2939, 1476, 9190, 3292, 1277, 100, 47, NA, 39034,  1*
