obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
150; 156.0;62103;22361;5924;910;1713;361;718;954;57;51; NA;95044;  1*
151; 156.9;41616;14877;10214;2215;4291;3332;3098;1674;57;60; NA;81317;  1*
152; 157.9;225674;143448;35158;9009;9383;4929;660;722;51;61; NA;428983;  1*
153; 158.9;2197824;573512;85345;68554;27612;13572;7965;4961;38;56; NA;2979345;  1*
154; 160.0;528916;128988;7896;11342;11736;4157;2011;2027;44;48; NA;697073;  1*
155; 160.9;8751;27882;10213;8008;3512;5601;2886;7600;43;47; NA;74453;  1*
156; 162.0;391003;192065;10876;13471;13357;5107;5353;2141;41;37; NA;633373;  1*
157; 163.0;32254;25914;8621;4741;5688;8186;7084;1784;63;41; NA;94272;  1*
158; 163.9;304205;67329;8094;10754;3368;4790;3383;3510;69;47; NA;405433;  1*
159; 164.9;368810;7269;771;3215;7875;1128;847;1511;67;40; NA;391426;  1*
160; 165.9;1732770;105055;10019;3077;11839;5288;3447;1635;75;40; NA;1873130;  1*
161; 167.0;732526;689721;82645;15493;59177;33911;13769;5298;61;29; NA;1632540;  1*
162; 167.9;22462;45049;36678;3241;18514;11000;9150;5153;67;37; NA;151247;  1*
163; 168.9;398283;65758;5465;2643;3307;2344;2210;1361;56;27; NA;481371;  1*
164; 169.9;92067;23774;13220;1007;1095;3483;2209;750;63;44; NA;137605;  1*
165; 170.9;4532;64136;6395;2073;6411;3083;1512;2188;63;44; NA;90330;  1*
166; 171.9;16497;21035;2166;5212;7741;7126;3581;4681;69;35; NA;68039;  1*
167; 172.9;12613;17213;16823;17586;11089;4076;3565;2740;78;57; NA;85705;  1*
168; 174.0;487621;159954;90472;20877;20212;9543;2527;5351;69;60; NA;796557;  1*
169; 175.0;117435;11395;2503;1386;3853;1570;520;447;77;64; NA;139109;  1*
170; 175.9;44241;37167;9283;5097;6347;3412;2413;1931;64;69; NA;109891;  1*
171; 176.9;133574;30295;5051;11788;4566;3576;1615;1339;64;61; NA;191804;  1*
172; 178.0;302132;9814;8549;3156;2391;4259;1974;1524;80;61; NA;333799;  1*
173; 178.9;71622;23853;9454;7299;1067;935;815;490;67;74; NA;115535;  1*
174; 179.9;17023;17220;13604;23463;6791;12681;2197;3972;78;84; NA;96951;  1*
175; 181.0;24389;25450;18712;13640;4152;12542;2000;1926;87;91; NA;102811;1
176; 181.9;77026;21203;2025;4064;3769;3142;161;363;81;80; NA;111753;1
177; 182.9;84604;78476;59964;11574;6532;5522;1402;3520;84;81; NA;251594;1
178; 184.0;406720;52225;7452;7701;3083;3128;2909;1306;69;66; NA;484524;1
179; 184.9;684972;41226;8857;8257;2282;1504;2436;3629;51;60; NA;753163;1
180; 185.9;887153;68629;47659;18010;20289;9630;2144;4867;48;70; NA;1058381;1
181; 186.9;357605;16001;4780;1971;4320;2982;931;532;57;61; NA;389122;1
182; 187.9;15258;16831;9094;6788;4123;7333;3440;3116;74;70; NA;65983;1
183; 188.9;10213;17649;18533;8698;5556;3603;3895;3153;84;80; NA;71300;1
184; 189.9;204539;56944;16833;2499;10884;3993;1205;658;81;69; NA;297555;1
185; 190.9;670523;174907;29378;18141;7266;12525;5606;2879;75;67; NA;921225;1
186; 192.0;17130;13243;4854;15740;8624;3529;1522;1454;67;70; NA;66096;1
187; 192.9;42376;18853;8356;12527;9498;2601;3486;3387;64;67; NA;101084;1
188; 194.0;33166;29124;21679;9942;4216;4272;2513;2276;67;78; NA;107188;1
189; 194.9;10427;32280;12228;3194;2568;6585;4511;2779;77;83; NA;74572;1
190; 195.9;53907;81503;79089;12884;17314;7050;4427;2530;67;84; NA;258704;1
191; 196.9;2397455;197150;27560;19435;13146;8518;6014;3392;63;74; NA;2672670;1
192; 197.9;88253;33087;42163;12493;2317;3943;4205;1981;60;80; NA;188442;1
193; 199.0;107184;40055;9269;9892;6119;7490;1148;985;60;78; NA;182142;1
194; 199.9;21956;41368;38261;15950;26646;3222;2239;3786;57;77; NA;153428;1
195; 200.9;29278;36379;18652;13420;4459;4317;2258;2220;63;90; NA;110983;1
196; 201.9;216369;98550;28470;17613;9577;8204;3713;4246;64;75; NA;386742;1
197; 202.9;13570;32136;2239;4904;5257;3809;929;2131;63;66; NA;64975;1
198; 203.9;35451;17851;11356;4931;5211;9820;7595;3109;81;61; NA;95324;1
199; 204.9;100507;32315;3337;4700;1464;2500;1067;478;81;50; NA;146368;1
200; 206.0;124484;42308;4161;5717;4242;4459;2481;3160;83;43; NA;191012;1
201; 206.9;87120;88882;14988;17156;6093;8222;3944;3644;80;50; NA;230049;1
202; 207.9;77648;18331;17148;1186;3837;1493;619;538;63;56; NA;120800;1
203; 208.9;82525;22269;3380;1555;3004;1756;922;478;61;53; NA;115889;1
204; 210.0;4562;10956;18089;9998;11269;7573;4480;2766;67;69; NA;69693;1
205; 210.9;80561;23124;6120;2419;2888;1134;536;1059;61;69; NA;117841;1
206; 211.9;436121;50145;14878;465;4425;3996;1186;883;64;57; NA;512099;1
207; 212.9;34978;18074;1968;2829;6904;2458;5886;2039;69;57; NA;75136;1
208; 213.9;156844;165687;18273;4273;3665;6680;4365;4405;54;38; NA;364192;1
209; 214.9;255146;123931;25878;16739;13969;5157;3902;3295;54;37; NA;448017;1
210; 215.9;77168;11014;2315;1050;1144;1289;1036;849;57;37; NA;95865;1
211; 217.0;135103;64583;19327;10492;5841;2618;739;614;47;44; NA;239317;1
212; 217.9;7325;9148;7800;3063;2920;1636;1072;1627;53;63; NA;34591;1
213; 218.9;35532;13498;8236;3571;11318;3780;4162;3249;66;66; NA;83346;1
214; 219.9;267168;65293;14148;5731;5097;3612;1191;1349;60;66; NA;363589;1
215; 220.9;34899;14330;14213;11193;7389;9489;1403;2214;80;74; NA;95130;1
216; 221.9;57265;33800;2752;3270;1615;701;467;225;66;56; NA;100095;1
217; 222.9;157877;12330;13346;12328;6572;3653;5055;1821;63;66; NA;212982;1
218; 224.0;37207;30468;9165;6724;2698;7598;3090;2807;74;74; NA;99757;1
219; 224.9;79728;53193;49367;10567;7800;5392;650;1016;57;74; NA;207713;1
220; 226.0;56954;92317;73495;61837;24986;5127;3636;2822;61;94; NA;321174;1
221; 226.9;22730;55761;4869;6097;1215;2533;1527;2073;53;75; NA;96805;1
222; 227.9;32740;29145;6223;10457;1844;6576;1740;2192;51;77; NA;90917;1
223; 228.9;101754;13101;442;1158;1706;1295;1790;1105;56;53; NA;122351;1
224; 229.9;94609;35134;34328;19688;8774;2873;1935;1653;60;53; NA;198994;1
225; 230.9;110136;27611;16189;3948;5215;4936;781;662;69;64; NA;169478;1
226; 231.9;74918;36080;6869;3388;8147;2866;3789;1730;63;56; NA;137787;1
227; 232.9;113998;8079;1598;3310;760;1211;887;992;63;75; NA;130835;1
228; 233.9;120141;34545;16685;5667;3409;1915;482;445;63;66; NA;183289;1
229; 235.0;33192;10800;15989;1179;2714;5059;2348;3139;67;74; NA;74420;1
230; 235.9;186255;102916;16385;5867;7653;8209;5324;4567;69;69; NA;337176;1
231; 236.9;839046;114327;8412;14841;12148;8469;11020;3054;64;57; NA;1011317;1
232; 237.9;291606;150227;21015;24158;12806;10270;15044;13013;69;51; NA;538139;1
233; 238.9;150553;4237;2282;1755;437;702;402;144;63;50; NA;160512;1
234; 239.9;98637;80062;5126;3527;10257;5473;3958;2221;61;43; NA;209261;1
235; 240.9;17722;64281;7316;10281;8837;3398;1113;2019;57;47; NA;114967;1
236; 242.0;10126;29173;14591;3991;4354;3109;1149;1121;60;53; NA;67614;1
237; 242.9;86139;53400;41940;8431;2881;1815;1500;1009;48;54; NA;197115;1
238; 243.9;100861;27102;2469;2903;1407;888;410;225;40;61; NA;136265;1
239; 244.9;283927;36030;9300;7119;6236;4856;2144;1593;47;66; NA;351205;1
240; 245.9;22533;12296;4994;2688;11012;4756;3520;1896;57;60; NA;63695;1
