obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
163, 165.0, 1611856, 437658, 129995, 78950, 44519, 44624, 13069, 3036, 63, 43, NA, 2363707,  X*
164, 166.0, 98569, 85215, 34729, 889, 12687, 10726, 7598, 2265, 69, 47, NA, 252678,  X*
165, 167.0, 1692703, 161807, 57878, 48057, 96716, 23830, 10451, 6731, 78, 51, NA, 2098173,  X*
166, 168.0, 92791, 51742, 21659, 2974, 16000, 6771, 4136, 1508, 78, 60, NA, 197581,  X*
167, 169.0, 645044, 215812, 20015, 3553, 16608, 11874, 5614, 1739, 75, 43, NA, 920259,  X*
168, 170.0, 1104174, 474039, 123105, 145650, 34902, 30638, 11455, 3554, 66, 48, NA, 1927517,  X*
169, 171.0, 182200, 33622, 16800, 28394, 20814, 5008, 2810, 1737, 63, 57, NA, 291385,  X*
170, 172.0, 620155, 266640, 263130, 25623, 66184, 18512, 10796, 5214, 53, 69, NA, 1276254,  X*
171, 173.0, 501027, 35187, 13549, 20299, 13636, 10550, 2346, 1457, 66, 91, NA, 598051,  X*
172, 174.0, 809485, 325706, 94397, 60603, 194696, 15048, 7424, 7241, 63, 84, NA, 1514600,  X*
173, 175.0, 22306, 6976, 5126, 1684, 3470, 3894, 2550, 395, 80, 78, NA, 46401,  X*
174, 176.0, 879539, 311091, 9164, 83922, 82138, 29802, 14553, 2621, 88, 63, NA, 1412830,  X*
175, 177.0, 1186141, 340120, 68339, 52873, 31286, 36988, 17067, 4261, 81, 54, NA, 1737075,  X*
176, 178.0, 742754, 880881, 75159, 33994, 71253, 55938, 17987, 5060, 87, 43, NA, 1883026,  X*
177, 179.0, 323057, 91643, 29079, 11202, 11954, 5301, 5952, 1426, 64, 40, NA, 479614,  X*
178, 180.0, 1120783, 267581, 41631, 89638, 60353, 12436, 34616, 3695, 54, 47, NA, 1630733,  X*
179, 181.0, 781938, 218793, 42651, 42857, 44835, 23909, 45251, 4331, 53, 47, NA, 1204565,  X
180, 182.0, 515202, 559343, 16064, 44059, 33698, 21064, 11018, 12209, 50, 44, NA, 1212657,  X
181, 183.0, 1557200, 477986, 144466, 131695, 55994, 58910, 26428, 6197, 57, 48, NA, 2458876,  X
182, 184.0, 2103590, 354316, 182979, 40841, 45342, 36546, 12851, 7697, 64, 51, NA, 2784162,  X
183, 185.0, 576894, 433285, 47425, 77800, 81838, 39434, 13872, 8723, 64, 48, NA, 1279271,  X
184, 186.0, 3943724, 1002640, 344528, 249767, 87450, 69597, 139313, 29783, 67, 67, NA, 5866802,  X
185, 187.0, 1329711, 356991, 31102, 37901, 125808, 33256, 18069, 8297, 67, 54, NA, 1941135,  X
186, 188.0, 1634323, 223657, 75483, 5616, 29463, 84971, 11993, 12189, 83, 44, NA, 2077695,  X
187, 189.0, 162461, 118301, 11327, 28195, 14559, 2975, 4843, 1760, 69, 47, NA, 344421,  X
188, 190.0, 46050, 25735, 4576, 6894, 1448, 2065, 1360, 138, 74, 43, NA, 88266,  X
189, 191.0, 1825781, 165463, 23890, 49809, 12210, 30627, 3572, 3663, 77, 54, NA, 2115015,  X
190, 192.0, 508100, 244938, 57078, 45533, 64369, 22016, 6656, 6050, 61, 56, NA, 954740,  X
191, 193.0, 354152, 197089, 280633, 60797, 22463, 48638, 24168, 2747, 77, 75, NA, 990687,  X
192, 194.0, 779242, 38234, 8715, 10780, 10105, 6470, 3239, 1769, 83, 74, NA, 858554,  X
193, 195.0, 1863533, 169841, 202738, 28936, 77653, 35411, 13968, 6520, 80, 83, NA, 2398600,  X
194, 196.0, 1257432, 411881, 197172, 40378, 47048, 30149, 16483, 8821, 77, 90, NA, 2009364,  X
195, 197.0, 1349706, 318422, 30727, 74779, 19679, 21907, 10198, 6701, 70, 74, NA, 1832119,  X
196, 198.0, 863697, 394072, 41336, 20930, 30836, 25139, 13041, 11889, 64, 63, NA, 1400940,  X
197, 199.0, 2222055, 1662971, 146810, 75823, 187022, 81723, 47389, 21836, 56, 40, NA, 4445629,  X
198, 200.0, 227132, 104710, 61193, 9285, 7869, 6783, 2075, 1625, 54, 41, NA, 420672,  X
199, 201.0, 1317602, 708960, 115405, 60177, 340236, 95107, 108686, 15840, 63, 34, NA, 2762013,  X
200, 202.0, 299390, 45987, 7375, 28284, 13803, 2838, 3720, 2207, 57, 48, NA, 403604,  X
201, 203.0, 289713, 135326, 160888, 23624, 17249, 8938, 13725, 4932, 54, 77, NA, 654395,  X
202, 204.0, 1165720, 486173, 133152, 26544, 21371, 25610, 22198, 6364, 54, 67, NA, 1887132,  X
203, 205.0, 326931, 45662, 14020, 13170, 9479, 11576, 3848, 2041, 57, 80, NA, 426727,  X
204, 206.0, 887247, 165876, 27105, 12980, 73049, 27363, 9327, 4655, 74, 63, NA, 1207602,  X
205, 207.0, 1614324, 2295976, 270480, 161753, 58243, 49419, 23055, 23232, 67, 40, NA, 4496482,  X
206, 208.0, 297682, 121383, 77102, 32198, 14849, 22729, 13444, 9949, 78, 51, NA, 589336,  X
207, 209.0, 1613874, 1018019, 132579, 148817, 137947, 150564, 31245, 19030, 75, 44, NA, 3252075,  X
208, 210.0, 1982752, 202918, 50955, 49248, 52898, 28248, 9073, 2583, 69, 56, NA, 2378675,  X
209, 211.0, 1258439, 244074, 151243, 44419, 35926, 13432, 7361, 7710, 77, 70, NA, 1762604,  X
210, 212.0, 1782876, 148311, 31388, 46525, 25298, 28380, 17771, 6795, 78, 64, NA, 2087344,  X
211, 213.0, 1738785, 416250, 167798, 22125, 6479, 44046, 12072, 10401, 70, 70, NA, 2417956,  X
212, 214.0, 193206, 16837, 21253, 18947, 8340, 3214, 1998, 770, 67, 88, NA, 264565,  X
213, 215.0, 1601178, 1504349, 55174, 100768, 109577, 110363, 35612, 25278, 77, 63, NA, 3542299,  X
214, 216.0, 322037, 24871, 36945, 5618, 6040, 3066, 1365, 1365, 63, 77, NA, 401307,  X
215, 217.0, 1276182, 477679, 113865, 160684, 95244, 140650, 39050, 20139, 75, 78, NA, 2323493,  X
216, 218.0, 730854, 794095, 31531, 7031, 69138, 22598, 11132, 8869, 66, 37, NA, 1675248,  X
217, 219.0, 342689, 484020, 14581, 54220, 22185, 22371, 15023, 7172, 60, 41, NA, 962261,  X
218, 220.0, 739436, 172616, 41409, 149754, 22422, 14840, 18372, 7577, 60, 38, NA, 1166426,  X
219, 221.0, 1211007, 118316, 27572, 77005, 38089, 16990, 7823, 6830, 51, 41, NA, 1503632,  X
220, 222.0, 1025348, 218091, 30890, 20807, 23810, 19643, 10733, 5338, 61, 57, NA, 1354660,  X
221, 223.0, 1438666, 356516, 109931, 72409, 34018, 24784, 12478, 2302, 63, 74, NA, 2051104,  X
222, 224.0, 1582224, 1651554, 232230, 373486, 105176, 49953, 35707, 18312, 56, 63, NA, 4048642,  X
223, 225.0, 429486, 314896, 3706, 46508, 17182, 56449, 8593, 2856, 63, 44, NA, 879676,  X
224, 226.0, 1649503, 324332, 66412, 14141, 26435, 28597, 8625, 6662, 63, 47, NA, 2124707,  X
225, 227.0, 2189818, 80683, 64954, 46438, 53606, 12646, 5871, 5335, 67, 51, NA, 2459351,  X
226, 228.0, 1601055, 387247, 310773, 343260, 138357, 39179, 40795, 32614, 74, 64, NA, 2893280,  X
227, 229.0, 969061, 133630, 63283, 107727, 34259, 14932, 12517, 3526, 60, 87, NA, 1338935,  X
228, 230.0, 1751723, 215013, 76505, 30743, 5710, 16412, 7681, 9033, 57, 96, NA, 2112820,  X
229, 231.0, 391747, 429927, 18736, 20820, 16206, 14344, 12987, 4751, 50, 69, NA, 909518,  X
230, 232.0, 1155430, 1635175, 155030, 110857, 102134, 60159, 26933, 35906, 48, 48, NA, 3281624,  X
231, 233.0, 1021897, 54266, 123361, 120542, 33231, 16399, 6212, 3678, 51, 54, NA, 1379586,  X
232, 234.0, 343079, 315275, 82058, 22405, 59581, 11779, 11257, 2178, 43, 48, NA, 847612,  X
233, 235.0, 2815512, 528001, 112562, 56505, 27480, 34179, 15392, 5595, 48, 60, NA, 3595226,  X
234, 236.0, 1199386, 545417, 38713, 56437, 21704, 22260, 13916, 3797, 50, 60, NA, 1901630,  X
235, 237.0, 803912, 206288, 148550, 61557, 21710, 21126, 14474, 4661, 48, 47, NA, 1282278,  X
236, 238.0, 730988, 155917, 56527, 31054, 33812, 8526, 7650, 4202, 51, 51, NA, 1028676,  X
237, 239.0, 785534, 285523, 67067, 30125, 21714, 26414, 5228, 5171, 53, 51, NA, 1226776,  X
238, 240.0, 400200, 419659, 78838, 76979, 47440, 22682, 11927, 4154, 56, 57, NA, 1061879,  X
239, 241.0, 1440703, 57889, 1938, 43849, 15138, 5152, 4494, 1847, 56, 56, NA, 1571010,  X
240, 242.0, 793204, 332439, 20486, 94357, 28310, 25277, 14377, 2089, 61, 53, NA, 1310539,  X
241, 243.0, 739347, 344434, 4440, 43382, 42052, 17345, 6373, 5929, 56, 44, NA, 1203302,  X
242, 245.0, 2580049, 108433, 118113, 91189, 37795, 19389, 11718, 8959, 60, 57, NA, 2975645,  X
243, 246.0, 470112, 487217, 199850, 51359, 44735, 22322, 10680, 4936, 53, 54, NA, 1291211,  X
