obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
117, 125.1, 39371, 12929, 33958, 4726, 15987, 3960, 3861, 2166, 78, 100, NA, 116958,  X*
118, 126.0, 31240, 19097, 8705, 42494, 1951, 7440, 2234, 2092, 81, 100, NA, 115253,  X*
119, 127.0, 855223, 64842, 58517, 31179, 15966, 17407, 6812, 3260, 81, 100, NA, 1053206,  X*
120, 128.0, 1282568, 121116, 14626, 10467, 7315, 5216, 3313, 1551, 69, 84, NA, 1446172,  X*
121, 129.0, 163485, 18562, 1984, 15716, 3504, 3043, 1451, 929, 69, 81, NA, 208674,  X*
122, 130.0, 552897, 174965, 14557, 32521, 31982, 9676, 14298, 3738, 60, 56, NA, 834634,  X*
123, 131.0, 3003106, 62586, 8302, 4854, 4511, 6738, 8067, 3274, 56, 38, NA, 3101438,  X*
124, 132.0, 760418, 11997, 16974, 4677, 4238, 3410, 4282, 1650, 66, 57, NA, 807646,  X*
125, 133.0, 72795, 57112, 6709, 13782, 49748, 16188, 3853, 2718, 78, 41, NA, 222905,  X*
126, 134.0, 43271, 4072, 19225, 24257, 34748, 12449, 3292, 7032, 97, 56, NA, 148346,  X*
127, 135.0, 78079, 44153, 32793, 5864, 8628, 14450, 5736, 1546, 100, 69, NA, 191249,  X*
128, 136.0, 49979, 81548, 45553, 7766, 27774, 7631, 5513, 3468, 97, 61, NA, 229232,  X*
129, 137.0, 20611, 18122, 22878, 6659, 19086, 7586, 6436, 2229, 96, 77, NA, 103607,  X*
130, 138.0, 18528, 48242, 28283, 5660, 30423, 14322, 10332, 3170, 90, 67, NA, 158960,  X*
131, 139.0, 1354760, 132982, 19312, 24619, 11630, 10343, 3560, 1582, 78, 61, NA, 1558788,  X*
132, 140.0, 213338, 9643, 518, 584, 2880, 2047, 375, 320, 93, 41, NA, 229705,  X*
133, 141.0, 106120, 35313, 18469, 17266, 13654, 13478, 1722, 1432, 94, 38, NA, 207454,  X*
